0.871873,1.46431
0.879113,1.47731
0.886352,1.50101
0.893592,1.53501
0.900832,1.57511
0.908072,1.62011
0.915311,1.67021
0.922551,1.72371
0.929791,1.77431
0.937031,1.81231
0.944271,1.82831
0.95151,1.80951
0.95875,1.73731
0.96599,1.59001
0.97323,1.35791
0.980469,1.04841
0.987709,0.66931
0.989519,0.56561
0.991329,0.47441
0.994949,0.42561
0.998569,0.47441
1.00219,0.59431
1.0081,0.92711
1.01401,1.22491
1.01992,1.49051
1.02583,1.72081
1.03174,1.91851
1.03766,2.09031
1.04357,2.24281
1.04948,2.37861
1.05539,2.49971
1.0613,2.60941
1.06721,2.71111
1.07312,2.80381
1.07903,2.88521
1.08495,2.95321
1.09086,3.00691
1.09677,3.04581
1.10268,3.06681
